statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
Wisconsin,2,2,4,Paying money to to the goverment,1,50,Two days ago when purchasing items from a store. ,It's part of life so I don't have a problem with it. ,I would have to say monthly purchases of none food related items are biggest.,1,state and federal taxes,4,no,Fixing roads that need to be repaired and health services,"People that abuse the system and take advantage of everyone that pays taxes. For example someone gets food stamps and instead of providing food for their home, they're buying food for other people or buying junk food instead. Or people who get benefits like caretakers and they have Iphones and cable yet their kids don't have clothes or food.If tax money is going to these programs then the people using them should  be have to follow certain guidelines. If you have a child on SSI you have show receipts showing purchases of what you bought them. Why not for caretakers especially for people that are showing abuse behaviors. ",I would have to say yes and no. The yes end would be at that school level tax dollars have been used to give schools free snack programs. A few of the schools have free lunch for all student regardless of income. ,60, Only one I'd say W2,1,I usually get a bigger tax refund.,1,I think it is a good thing to have.I think mothers whom haven't worked but file homestead should still be able to claim child tax credit if they are still providing for their child whether it with child support or government assistance. ,7,4,4,1,67,2,2,3,4,4,4,3,5,3,50,46,1,9,0.984578453
Kansas,2,5,4,fees that you pay to government for their use as they see fit.,1,71,gas tax when I filled up my car yesterday,"it feels okay for the most part, although I do feel taken for granted at times. ",personal property taxes on vehicles,1,"state, federal, medicare, social security",3,no,"roads, police, firefighters",I don't think my legislators should be voting for a pay raise. I think that should be left up to the people who voted them into office. ,We have great roads in our state. The school my children attend use a lot of the federal programs. The taxes pay for the police and firefighters who keep our community safe. ,25,studies on why mice go bald ,3,,1,they are credits meant to help families-they are good credit if they are used properly,1,4,2,1,10,1,2,3,1,2,1,3,1,1,17,44,1,14,1.154111704
Ohio,2,2,2,An expense people in the U.S. are forced to pay.,1,100,Yesterday when making a purchase at a store.,Does anyone feel great about being a taxpayer?  It is just something that is forced upon a person because of government rules.,"Estimated state and federal taxes, paid quarterly each year.",0,,0,"No, its just myself and my spouse.","As I said earlier, keeping the streets plowed in my city for transportation purposes.",Just about everything which is taxed except for food and I believe that will occur sometime down the road.,"Getting the snow plowed off the streets each winter due to tax dollars, otherwise, it would be vertually impossible to travel by car or walking.",60,Constantly sending money out of the country to help whenever a crisis occurs.,3,,4,,8,5,4,1,39,1,4,4,4,2,2,6,1,1,36,21,1,17,1.624211387
Texas,1,5,5,Internal revenue services in receiving my in Federal come tax.,1,39,It was 8 years ago that I last pay income tax..,It is a lonely feeling that I have to pay taxes.,It seem that I pay over 20% on income taxes.,0,,0,No other dependents.,That I am receiving disability right now.,"Right now, nothing right now",yes,40,over paying fo tool and guns used in thew army,4,,3,,6,5,3,1,80,1,3,2,3,4,4,3,3,1,44,19,2,2,0.876566393
New York,2,2,NA,money that comes out of your income to cover certain expenses of the state or federal government,1,60,sales tax when purchasing clothing,necessary expense,"sales, utilitiy",1,"fica, social security",0,0,"fire, education, police, highways","why be upset, doesn't change anything",dont know,19,didn't think of anything,4,,2,"what is there to think, suppose to be for those low income",NA,NA,4,1,50,1,NA,3,4,3,3,1,2,3,33,15,NA,NA,1.927817562
California,1,6,7,Government corruption and excessive spending,1,44,"Payroll withholding, sales tax, property tax.",Ripped off,iincome tax,1,"Federal Income Tax, FICA, CA disability, CA income tax",0,no,nothing taxes need to ge cut 50% across the board and programs cut,"All social programs, taxes should only go for defense and infrastructure",no,84,Social programs pork spending foreign aid,3,,3,,1,7,1,1,1,1,2,1,4,2,1,3,1,1,5,15,1,19,1.732094445
North Carolina,2,2,1,"i think taxes are way too high on everything, from property taxes, car taxes, etc...",1,91,i had to the property taxes on my house and also the yearly taxes on my car,it sucks,hoise taxes,1,"social security, federal & state ficc",0,0,"supporting government funded programs, paying for road maintenance","i think taxes are way too high i get upset when i know & see people getting  / free help"" from government agency, food stamps, medicaid, electric bills paid for, free cell phones and they get this all FOR FREE while I work I have to pay for everything myself, thank god i work so I can pay for their laziness",no because what i have i paid for myself while the lazy non=working people get all the freebies from the government,97,"welfare, food stamps, heap programs and especially medicaid",3,,3,,6,4,2,1,82,1,2,1,4,1,4,6,3,1,34,28,1,10,0.432154266
Massachusetts,2,4,5,money out of my pocket and nothing to show for it,1,81,Just paid my state tax on my home,used,sales tax,1,"state income, federal tax, Social Security ",0,1,"roadrepair, unemployed, people on gove give aways",most things given to people for free and they didnot work for it,road repair  about 50 %,70,support of other countries....still paying Japan for droping the bomb in WWII ... Supporting all the forign countries WORLD WELLFARE,2,not sure,4,,1,6,2,1,51,1,2,2,2,1,1,6,1,1,22,15,1,13,0.73595321
New York,1,3,4,that I will be paying more in the future,1,30,last month when I pd my school tax as a home owner,I do not enjoy it,property tax,1,"fica, social sercurity, federal and state",0,o,the roads and bridges I drive on,my city property tax because they are to high,not really when I have called the police they never have any available,19,foreign aid,3,,3,,6,6,4,1,19,1,3,3,4,3,1,3,3,1,33,20,1,4,0.341164062
Texas,2,2,7,Paying out of pocket extra money for things I buy / ,1,81,Federal tax to the IRS every year,Everybody has to do it,federal income tax,1,social security  medicare,1,0,better schools  better education,welfare for people who don't want to work,not sure what you  mean,82,big fancy dinners for politicians,4,,4,,1,6,3,2,81,2,2,3,2,2,1,3,1,1,44,32,1,18,1.302865633
Texas,2,2,4,money the government takes from our paychecks that we work so hard for to put it in their pockets. ,2,80,three years ago before I lost my job but I still pay takes every time I go anywhere and buy anything.,It sucks cause it takes money out of my pocket that I could have used to feed my kids ,none at this time cause me nore my spouce have jobs,1,S.S. tax ,0,0,I have not seen my tax dollars pay for anything except stupid highways or as the government  calls them toll roads or another way of taking more of our hard earn money to put in their pockets and I bet they never have to do without a thing thanks to all of us working so hard while they sit back and think of other ways to take our money.,Everything that they say their going to do with our tax dollars but they never do.,Hell no I have not benefitted from my tax dollars at all and I can't even get the lazy people to fix my road like my tax dollars are suppose to do ,90,They give it to all these forgin countrys and we have no say so they bail out the rich and let the poor people die ,2,Gives us a little extra money to actually by a few extra things we have needed for a while,4,,4,1,4,1,1,2,4,1,4,4,4,6,1,4,44,42,1,1,0.627293163
Wisconsin,1,3,4,corrupt politicians stealing from the poor to enrich themselves,1,92,yesterday (11/05/2014) at around 6:00 p.m.,"frustrated, abused, angry, and disgusted",sales taxes,1,"state, federal, and fica(social security)",0,none,"protective services (police, fire, emts), roads, parks","extravagant perks for elected officials, political waste and graft, unnecessary interest paid because of the inability of our government officials to balance a budget (all levels-local, state, federal), overpaid government employees, ","yes, from protective services, education, transportation, recreation facilities, and social services",98,"$299 hammers that sell for $2.99 at the hardware store, employing five or more people to do the job of one",3,,3,,6,NA,3,1,10,1,2,5,4,1,1,6,5,3,50,19,1,3,0.427902551
Pennsylvania,2,2,1,More money coming from my pockets.,1,80,I paid taxes on nonfood merchandise.,ok-I know some of the money goes to good causes. / ,income tax,1,"social security, medicare, federal, state, local",0,no,seniors benefits and educational funds,foreign aid and entertainment for the lawmakers,no,19,taxes used for entertainment,1,It made the family less liable for taxes paid over the year.,1,It helps out hard working poor and middle classed parents who has children and are struggling to survive in this economy.,6,4,3,1,92,1,3,3,4,2,1,6,2,1,39,19,2,12,1.096940294
Missouri,2,3,4,money coming out of pocket--like a bill,1,81,Last year I had to pay taxes ,"Well, ok as long as the money goes to take care of America and is taken care of responsibly",food taxes,1,Social security,1,0,Food stamps-TANF--Medicaid--Road upkeep,coins that are being made that no one will ever use,A little with the way the roads are taking care of and through food stamps,7,Paying for coins to be made that will never be used,1,It helps us to catch up on bills and buy any big appliances that we may be needing,1,I like it and it is much needed,7,5,3,1,65,2,2,2,4,4,2,6,3,1,26,36,1,3,0.427902551
New Mexico,1,6,7,It is Legalized Extortion and should be greatly reduced,1,38,I choose to no longer pay state or federal tax,Like I have been used and abused,Sales tax,1,Federal state FICA ,0,No,Military and defense of the country,Social programs for non citizens,No I do not,59,How legal citizens get the shaft while illegals get all the benefits it's sickening,3,,3,,4,7,1,1,3,1,1,5,3,2,2,6,3,4,32,25,1,9,0.3930594
Georgia,2,5,2,an expense that has become expensive,1,81,"at the grocery store, at a restaurant and at the gas station",I feel like I shouldn't have to pay such a high tax rate,"payroll, grocery, gas taxes",1,"state taxes, federal taxes",1,no,Im glad my tax dollars help to pay for roads and schools.,I'm upset my tax dollars pay for jails and politians,I benefit from the tax dollars that are paid for road and schools,50,I think the government waste tax dollars to pay for corrupt politians,1,gives a better refund,1,I think it helps taxpayers get a larger refund,1,4,3,1,49,1,3,3,4,1,1,3,3,1,11,31,2,12,1.103625348
