gender,educ,partyid,taxpayer,percenttp,wagesal,child,wastecents,eitcself,eitcother,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
2,2,4,1,50,1,4,60,1,1,7,4,4,1,67,2,2,3,4,4,4,3,5,3,50,46,1,9,0.984578453
2,5,4,1,71,1,3,25,3,1,1,4,2,1,10,1,2,3,1,2,1,3,1,1,17,44,1,14,1.154111704
2,2,2,1,100,0,0,60,3,4,8,5,4,1,39,1,4,4,4,2,2,6,1,1,36,21,1,17,1.624211387
1,5,5,1,39,0,0,40,4,3,6,5,3,1,80,1,3,2,3,4,4,3,3,1,44,19,2,2,0.876566393
2,2,9,1,60,1,0,19,4,2,10,8,4,1,50,1,5,3,4,3,3,1,2,3,33,15,7,20,1.927817562
1,6,7,1,44,1,0,84,3,3,1,7,1,1,1,1,2,1,4,2,1,3,1,1,5,15,1,19,1.732094445
2,2,1,1,91,1,0,97,3,3,6,4,2,1,82,1,2,1,4,1,4,6,3,1,34,28,1,10,0.432154266
2,4,5,1,81,1,0,70,2,4,1,6,2,1,51,1,2,2,2,1,1,6,1,1,22,15,1,13,0.73595321
1,3,4,1,30,1,0,19,3,3,6,6,4,1,19,1,3,3,4,3,1,3,3,1,33,20,1,4,0.341164062
2,2,7,1,81,1,1,82,4,4,1,6,3,2,81,2,2,3,2,2,1,3,1,1,44,32,1,18,1.302865633
2,2,4,2,80,1,0,90,2,4,4,1,4,1,1,2,4,1,4,4,4,6,1,4,44,42,1,1,0.627293163
1,3,4,1,92,1,0,98,3,3,6,8,3,1,10,1,2,5,4,1,1,6,5,3,50,19,1,3,0.427902551
2,2,1,1,80,1,0,19,1,1,6,4,3,1,92,1,3,3,4,2,1,6,2,1,39,19,2,12,1.096940294
2,3,4,1,81,1,1,7,1,1,7,5,3,1,65,2,2,2,4,4,2,6,3,1,26,36,1,3,0.427902551
1,6,7,1,38,1,0,59,3,3,4,7,1,1,3,1,1,5,3,2,2,6,3,4,32,25,1,9,0.3930594
2,5,2,1,81,1,1,50,1,1,1,4,3,1,49,1,3,3,4,1,1,3,3,1,11,31,2,12,1.103625348
1,5,1,2,63,1,0,49,3,3,9,1,3,1,15,1,3,3,4,2,1,3,5,3,24,48,1,3,0.782012106
1,6,4,1,100,1,4,99,1,1,1,4,1,1,98,1,1,1,1,4,4,1,1,1,11,29,1,19,1.302865633
1,5,4,1,75,1,1,70,2,2,4,4,2,1,1,1,3,3,4,1,2,3,1,1,7,37,1,16,0.503497879
1,5,5,1,46,1,0,21,1,1,1,5,1,1,40,1,3,2,4,2,1,3,1,1,14,23,1,13,0.631508565
2,2,4,1,91,1,0,41,1,2,5,2,3,1,50,1,2,2,4,2,1,3,1,3,36,23,1,5,0.427902551
2,3,1,1,61,1,1,81,2,4,6,2,2,1,49,1,3,2,4,4,4,6,5,3,5,23,1,10,0.3930594
1,2,5,1,51,1,0,18,3,3,6,5,1,1,27,1,2,4,4,2,1,3,1,1,11,24,1,12,0.432154266
2,5,4,1,50,1,0,80,1,1,1,4,4,1,81,1,4,3,4,1,1,6,3,1,10,24,1,14,0.506566333
